zipcode,county,family_members,annual_income_needed,monthly_income_needed,qualify
99203,Spokane,1,43330,3611,pass
99203,Spokane,2,49530,4128,pass
99203,Spokane,3,55730,4644,pass
99203,Spokane,4,61880,5157,pass
99203,Spokane,5,66880,5573,pass
99203,Spokane,6,71560,5963,pass
99203,Spokane,7,76780,6398,pass
99203,Spokane,8,81730,6811,pass
99203,Spokane,1,43350,3613,pass
99203,Spokane,2,49550,4129,pass
99203,Spokane,3,55750,4646,pass
99203,Spokane,4,61900,5158,pass
99203,Spokane,5,66900,5575,pass
99203,Spokane,6,71580,5965,pass
99203,Spokane,7,76800,6400,pass
99203,Spokane,8,81750,6813,pass
99203,Spokane,1,43370,3614,fail
99203,Spokane,2,49570,4131,fail
99203,Spokane,3,55770,4648,fail
99203,Spokane,4,61920,5160,fail
99203,Spokane,5,66920,5577,fail
99203,Spokane,6,71600,5967,fail
99203,Spokane,7,76820,6402,fail
99203,Spokane,8,81770,6814,fail