zipcode,state_name,county_name,city_name,median_household_income,average_household_income,per_capita_income,percent_incomes_200000+
98802,Washington,Douglas,East Wenatchee; Rock Island,"$68,363","$89,546","$32,979",5.10%
98811,Washington,Chelan,,"$86,324","$87,689","$37,505",0.00%
98812,Washington,Douglas; Okanogan,Brewster; Pateros,"$48,790","$54,457","$18,761",1.90%
98813,Washington,Douglas; Okanogan,Bridgeport,"$46,209","$51,378","$15,182",0.90%
98814,Washington,Okanogan,,"$54,495","$56,607","$29,909",2.60%
98815,Washington,Chelan,Cashmere,"$62,526","$79,463","$28,440",3.10%
98816,Washington,Chelan; Douglas,Chelan,"$55,357","$74,723","$30,951",5.50%
98817,Washington,Chelan,Chelan Falls,-$1,"$58,383","$27,786",0.00%
98819,Washington,Okanogan,Conconully,"$38,750","$46,778","$31,342",0.00%
98821,Washington,Chelan,,-$1,"$95,708","$33,838",0.00%
98822,Washington,Chelan,Entiat,"$56,006","$67,222","$27,930",4.30%
98823,Washington,Douglas; Grant,Ephrata,"$62,795","$79,315","$29,105",3.80%
98824,Washington,Grant,George,"$43,875","$55,267","$13,864",2.00%
98826,Washington,Chelan,Leavenworth,"$63,488","$83,048","$35,920",6.20%
98827,Washington,Okanogan,Loomis,"$55,625","$50,917","$16,093",0.00%
98828,Washington,Chelan; Kittitas,,"$66,740","$80,107","$30,337",3.20%
98829,Washington,Okanogan,Malott,"$40,375","$49,934","$15,878",0.00%
98830,Washington,Douglas,Mansfield,"$52,946","$58,866","$30,169",0.70%
98831,Washington,Chelan,Manson,"$49,764","$69,155","$29,581",2.50%
98832,Washington,Grant; Lincoln,Krupp (Marlin),"$58,438","$67,892","$29,364",0.00%
98833,Washington,Okanogan,,"$97,548","$71,319","$29,628",0.00%
98834,Washington,Okanogan,Methow,"$44,375","$86,854","$37,822",9.20%
98836,Washington,Chelan,Cashmere,-$1,"$68,105","$25,183",4.40%
98837,Washington,Grant,Cascade Valley; Moses Lake; Moses Lake North,"$55,876","$73,461","$26,546",4.10%
98840,Washington,Okanogan,Malott; Okanogan; Omak,"$48,011","$60,539","$24,088",1.50%
98841,Washington,Ferry; Okanogan,Disautel; North Omak; Okanogan; Omak; Riverside,"$46,746","$61,616","$26,070",2.90%
98843,Washington,Douglas,,"$56,429","$73,648","$27,006",5.00%
98844,Washington,Okanogan,Oroville,"$42,783","$50,137","$23,884",0.00%
98845,Washington,Douglas,,"$50,167","$57,859","$21,866",0.00%
98846,Washington,Okanogan,Pateros,"$62,813","$82,550","$28,166",9.70%
98847,Washington,Chelan; Kittitas,,"$50,740","$72,053","$23,853",1.80%
98848,Washington,Douglas; Grant,George; Quincy,"$63,322","$77,016","$22,334",3.30%
98849,Washington,Okanogan,Omak; Riverside,"$50,149","$48,949","$18,592",0.40%
98850,Washington,Douglas,Rock Island,"$52,647","$53,338","$19,731",0.00%
98851,Washington,Grant,Lakeview; Soap Lake,"$47,386","$58,589","$21,774",1.10%
98852,Washington,Chelan; Okanogan,,"$38,125","$37,943","$16,893",0.00%
98853,Washington,Grant,,-$1,-$1,-$1,100.00%
98855,Washington,Okanogan,Tonasket,"$40,658","$50,389","$21,463",0.20%
98856,Washington,Chelan; Okanogan,Twisp,"$48,900","$70,791","$29,825",3.50%
98857,Washington,Adams; Grant,Warden,"$40,054","$58,931","$19,996",1.40%
98858,Washington,Douglas,Waterville,"$57,955","$73,414","$31,011",3.00%
98859,Washington,Ferry; Okanogan,,"$71,042","$58,326","$31,256",0.00%
98860,Washington,Grant,Wilson Creek,"$37,500","$62,366","$30,461",0.00%
98862,Washington,Okanogan; Whatcom,Twisp; Winthrop,"$59,787","$77,068","$36,734",4.00%
98901,Washington,Kittitas; Yakima,Moxee; Terrace Heights; Union Gap; Yakima,"$42,151","$58,234","$19,745",3.20%
98902,Washington,Yakima,Yakima,"$43,461","$57,302","$21,122",2.10%
98903,Washington,Yakima,Ahtanum; Tampico; Union Gap; Yakima,"$52,634","$71,898","$27,838",3.70%
98908,Washington,Yakima,Ahtanum; Eschbach; Gleed; Summitview; Yakima,"$64,974","$86,823","$34,761",5.40%
98921,Washington,Yakima,Buena,-$1,-$1,-$1,0.00%
98922,Washington,Kittitas,Cle Elum; Easton; Roslyn; South Cle Elum,"$57,458","$77,290","$36,122",7.40%
98923,Washington,Yakima,Cowiche,"$48,846","$51,695","$17,029",0.00%
98925,Washington,Kittitas,Easton; Roslyn,"$74,583","$92,873","$49,165",5.30%
98926,Washington,Kittitas,Ellensburg; Kittitas,"$56,018","$68,471","$27,173",2.80%
98929,Washington,Yakima,,-$1,-$1,-$1,-1.00%
98930,Washington,Benton; Yakima,Grandview,"$53,781","$66,592","$19,496",3.60%
98932,Washington,Yakima,Granger,"$55,280","$94,814","$24,983",4.10%
98933,Washington,Yakima,Harrah,"$58,203","$76,480","$25,850",5.50%
98934,Washington,Kittitas,Kittitas,"$45,278","$48,207","$19,643",1.30%
98935,Washington,Yakima,Grandview; Mabton,"$51,648","$58,757","$16,014",1.10%
98936,Washington,Yakima,Moxee,"$65,875","$81,905","$24,666",4.30%
98937,Washington,Kittitas; Pierce; Yakima,Cliffdell; Eschbach; Gleed; Naches; Nile,"$61,635","$77,661","$32,383",2.10%
98938,Washington,Yakima,Outlook; Sunnyside,"$49,821","$68,421","$18,215",8.60%
98939,Washington,Yakima,Parker,-$1,"$16,845","$8,511",0.00%
98940,Washington,Kittitas,Ronald,-$1,"$116,951","$66,223",13.20%
98941,Washington,Kittitas,Cle Elum; Roslyn,"$44,886","$51,008","$26,333",0.00%
98942,Washington,Yakima,Selah; Yakima,"$62,682","$84,397","$31,495",3.70%
98943,Washington,Kittitas,Cle Elum; South Cle Elum,"$62,847","$72,283","$28,684",1.80%
98944,Washington,Benton; Yakima,Sunnyside,"$46,393","$60,130","$16,863",1.40%
98946,Washington,Kittitas,Thorp,"$54,583","$97,302","$45,999",9.20%
98947,Washington,Yakima,Cowiche; Tieton,"$51,450","$68,200","$18,458",2.40%
98948,Washington,Yakima,Toppenish,"$50,291","$55,578","$16,384",0.70%
98950,Washington,Kittitas,Vantage,-$1,-$1,"$30,565",0.00%
98951,Washington,Yakima,Donald; Harrah; Parker; Wapato,"$48,866","$67,232","$19,261",2.60%
98952,Washington,Yakima,White Swan,"$49,821","$65,441","$17,144",2.90%
98953,Washington,Yakima,Buena; Zillah,"$64,958","$72,489","$24,124",4.10%
99001,Washington,Spokane,Airway Heights; Spokane,"$49,342","$57,894","$17,399",1.40%
99003,Washington,Spokane,,"$67,669","$83,089","$34,697",4.70%
99004,Washington,Spokane; Whitman,Cheney; Four Lakes,"$50,725","$69,075","$27,045",3.30%
99005,Washington,Spokane,Green Bluff,"$94,571","$108,532","$36,789",9.60%
99006,Washington,Pend Oreille; Spokane; Stevens,Deer Park,"$62,741","$73,991","$28,094",1.90%
99008,Washington,Lincoln; Spokane,,"$67,614","$72,445","$15,500",5.60%
99009,Washington,Pend Oreille; Spokane,,"$52,892","$70,348","$27,838",1.30%
99011,Washington,Spokane,Fairchild AFB,"$67,656","$67,130","$20,581",0.70%
99012,Washington,Spokane,Fairfield; Latah; Waverly,"$54,583","$83,359","$32,972",3.00%
99013,Washington,Lincoln; Spokane; Stevens,,"$44,474","$50,316","$19,254",0.00%
99016,Washington,Spokane,Liberty Lake; Spokane Valley,"$75,012","$93,664","$36,796",7.10%
99017,Washington,Adams; Lincoln; Whitman,Lamont,"$45,625","$45,537","$21,916",0.00%
99018,Washington,Spokane,Latah,"$57,647","$61,872","$26,351",0.00%
99019,Washington,Spokane,Liberty Lake,"$85,131","$115,527","$46,878",11.20%
99020,Washington,Spokane,,-$1,-$1,-$1,-1.00%
99021,Washington,Spokane,Green Bluff; Mead,"$73,091","$91,537","$34,179",7.70%
99022,Washington,Spokane,Airway Heights; Fairchild AFB; Medical Lake,"$71,733","$78,923","$28,584",3.80%
99023,Washington,Spokane,,"$103,571","$170,493","$55,704",31.20%
99025,Washington,Spokane,Otis Orchards-East Farms,"$75,698","$86,156","$32,457",3.20%
99026,Washington,Spokane; Stevens,Spokane,"$79,044","$88,696","$35,090",5.60%
99027,Washington,Spokane,Otis Orchards-East Farms; Spokane Valley,"$67,945","$88,670","$34,471",3.50%
99029,Washington,Lincoln; Spokane,Reardan,"$67,760","$75,744","$38,314",3.60%
99030,Washington,Spokane,Rockford,"$52,125","$73,005","$33,092",3.20%
99031,Washington,Spokane,Spangle,"$75,375","$87,731","$34,582",8.10%
99032,Washington,Adams; Lincoln,Sprague,"$46,667","$67,116","$26,908",1.60%
99033,Washington,Spokane; Whitman,Tekoa,"$60,469","$63,463","$25,537",1.30%
99034,Washington,Stevens,,-$1,-$1,"$13,265",0.00%
99036,Washington,Spokane,,"$95,625","$128,759","$49,124",14.90%
99037,Washington,Spokane,Spokane Valley,"$58,000","$82,946","$33,801",6.10%
99039,Washington,Spokane,Waverly,"$42,500","$46,816","$22,896",0.00%
99040,Washington,Lincoln; Stevens,,"$28,080","$40,232","$16,322",0.70%
99101,Washington,Stevens,Addy,"$43,207","$62,317","$25,852",4.70%
99102,Washington,Whitman,Albion,"$68,333","$68,317","$31,241",0.00%
99103,Washington,Grant; Lincoln,Almira,"$78,333","$87,953","$36,008",2.30%
99105,Washington,Adams; Whitman,,"$49,375","$56,032","$26,946",0.00%
99109,Washington,Stevens,Chewelah,"$44,512","$58,734","$24,848",1.90%
99110,Washington,Spokane; Stevens,Clayton,"$41,935","$57,028","$21,598",1.30%
99111,Washington,Whitman,Colfax; Steptoe,"$52,246","$69,890","$29,770",1.70%
99113,Washington,Whitman,Colton,"$60,526","$68,372","$31,859",1.20%
99114,Washington,Stevens,Colville,"$50,067","$64,085","$26,181",2.80%
99115,Washington,Douglas; Grant,Banks Lake South; Coulee City,"$51,964","$56,788","$24,691",1.70%
99116,Washington,Douglas; Grant; Okanogan,Coulee Dam; Elmer City,"$56,974","$67,351","$31,253",0.60%
99117,Washington,Lincoln,Creston,"$53,125","$63,015","$28,726",1.90%
99118,Washington,Ferry,Curlew,"$38,304","$57,021","$26,414",1.30%
99119,Washington,Pend Oreille,Cusick,"$48,482","$70,782","$32,204",4.90%
99121,Washington,Ferry,Danville,"$30,341","$52,318","$24,537",7.70%
99122,Washington,Lincoln; Stevens,Davenport,"$58,059","$69,641","$27,923",0.60%
99123,Washington,Grant,Electric City; Grand Coulee,"$58,750","$66,097","$28,479",0.80%
99124,Washington,Okanogan,Elmer City,"$45,000","$61,107","$27,410",0.00%
99125,Washington,Adams; Whitman,Endicott,"$47,656","$60,321","$26,044",1.70%
99126,Washington,Stevens,Marcus,"$61,563","$71,015","$20,455",9.10%
99128,Idaho; Washington,Latah; Whitman,Farmington,"$57,813","$78,807","$34,668",8.30%
99129,Washington,Stevens,,"$38,906","$46,809","$20,789",0.60%
99130,Idaho; Washington,Latah; Whitman,Colfax; Garfield,"$58,583","$61,020","$25,915",1.40%
99131,Washington,Stevens,,"$62,188","$104,590","$60,295",14.00%
99133,Washington,Douglas; Grant; Lincoln,Electric City; Grand Coulee,"$51,172","$60,878","$29,782",1.00%
99134,Washington,Lincoln,Harrington,"$35,917","$54,985","$24,981",1.20%
99135,Washington,Grant,Hartline,"$73,188","$73,378","$28,017",0.00%
99136,Washington,Whitman,,"$33,750","$44,155","$25,706",0.00%
99137,Washington,Stevens,,"$45,833","$50,668","$25,710",0.00%
99138,Washington,Ferry,Inchelium; Twin Lakes,"$38,587","$51,637","$20,835",0.70%
99139,Washington,Pend Oreille,Ione,"$57,500","$73,691","$27,532",0.80%
99140,Washington,Ferry,Keller,"$31,389","$51,410","$21,625",0.60%
99141,Washington,Ferry; Stevens,Barney's Junction; Barstow; Boyds; Kettle Falls,"$54,213","$69,663","$28,115",5.00%
99143,Washington,Whitman,LaCrosse,"$48,523","$59,833","$28,853",2.50%
99144,Washington,Lincoln,,"$34,063","$40,836","$22,822",0.00%
99146,Washington,Ferry,Laurier,"$17,019","$25,805","$22,579",0.00%
99147,Washington,Lincoln,,"$63,828","$64,695","$37,419",0.00%
99148,Washington,Stevens,Loon Lake; Springdale,"$58,672","$81,260","$37,303",6.50%
99149,Washington,Whitman,Malden,"$38,875","$46,501","$18,784",0.00%
99150,Washington,Ferry,Malo,"$44,000","$61,182","$24,375",0.00%
99151,Washington,Stevens,Marcus,"$30,938","$37,002","$19,249",0.00%
99152,Washington,Pend Oreille,Metaline,"$63,750","$83,489","$38,815",4.30%
99153,Washington,Pend Oreille,Metaline Falls,"$39,464","$58,953","$36,338",5.10%
99154,Washington,Lincoln,,-$1,"$93,209","$37,723",0.00%
99155,Washington,Ferry; Okanogan,Nespelem; Nespelem Community,"$30,673","$55,569","$22,037",5.20%
99156,Washington,Pend Oreille; Spokane,Newport,"$51,389","$62,467","$26,916",2.50%
99157,Washington,Stevens,Northport,"$34,423","$42,122","$19,507",0.00%
99158,Washington,Whitman,Oakesdale,"$61,346","$76,351","$30,225",3.10%
99159,Washington,Adams; Lincoln,Odessa,"$53,942","$64,254","$27,128",2.30%
99160,Washington,Ferry,Orient,"$22,500","$25,657","$16,006",0.00%
99161,Washington,Whitman,Palouse,"$73,125","$80,486","$38,978",2.00%
99163,Washington,Whitman,Albion; Pullman,"$33,837","$56,611","$20,951",4.60%
99164,Washington,Whitman,Pullman,-$1,-$1,-$1,-1.00%
99166,Washington,Ferry; Okanogan,Curlew Lake; Pine Grove; Republic; Torboy,"$42,970","$62,666","$28,128",3.90%
99167,Washington,Stevens,,"$44,063","$58,306","$28,905",0.80%
99169,Washington,Adams; Lincoln; Whitman,Ritzville,"$48,899","$58,664","$27,107",1.30%
99170,Washington,Spokane; Whitman,Malden; Rosalia,"$51,905","$64,693","$27,600",0.70%
99171,Washington,Whitman,St. John,"$56,029","$62,639","$27,835",0.40%
99173,Washington,Stevens,Springdale,"$34,889","$44,593","$17,624",0.00%
99174,Washington,Whitman,Steptoe,-$1,"$58,596","$25,043",0.00%
99176,Washington,Whitman,,"$43,906","$74,553","$38,193",6.50%
99179,Idaho; Washington,Nez Perce; Whitman,Uniontown,"$78,571","$114,179","$36,975",8.40%
99180,Washington,Pend Oreille,Cusick,"$46,818","$72,702","$26,512",4.10%
99181,Washington,Stevens,Valley,"$45,833","$74,111","$30,883",7.70%
99185,Washington,Lincoln,Wilbur,"$52,250","$69,667","$29,845",5.90%
99201,Washington,Spokane,Spokane,"$30,388","$49,424","$27,710",2.50%
99202,Washington,Spokane,Spokane; Spokane Valley,"$39,857","$54,292","$21,164",1.20%
99203,Washington,Spokane,Spokane,"$76,543","$109,800","$47,266",11.00%
99204,Washington,Spokane,Spokane,"$36,280","$51,987","$27,798",2.10%
99205,Washington,Spokane,Spokane; Town and Country,"$53,205","$64,159","$27,136",2.00%
99206,Washington,Spokane,Millwood; Spokane Valley,"$58,853","$71,342","$28,676",3.60%
99207,Washington,Spokane,Spokane,"$41,401","$50,179","$20,392",0.40%
99208,Washington,Spokane,Country Homes; Fairwood; Mead; Spokane; Town and Country,"$62,587","$81,148","$32,660",4.50%
99212,Washington,Spokane,Millwood; Spokane; Spokane Valley,"$54,518","$71,763","$30,869",2.50%
99216,Washington,Spokane,Spokane Valley,"$47,180","$60,380","$26,331",1.70%
99217,Washington,Spokane,Mead; Spokane,"$55,145","$76,063","$29,473",4.90%
99218,Washington,Spokane,Country Homes; Fairwood; Spokane; Town and Country,"$45,689","$68,186","$26,085",2.30%
99223,Washington,Spokane,Spokane,"$71,771","$97,920","$41,199",8.30%
99224,Washington,Spokane,Airway Heights; Spokane,"$64,455","$92,404","$38,447",8.00%
99301,Washington,Franklin,Pasco; West Pasco,"$64,311","$80,888","$25,657",4.90%
99320,Washington,Benton,Benton City; Richland; West Richland,"$63,075","$74,710","$29,284",2.80%
99321,Washington,Grant,,-$1,-$1,"$6,094",0.00%
99322,Washington,Klickitat,Bickleton,"$50,625","$106,241","$45,826",5.80%
99323,Washington,Walla Walla,Burbank,"$72,536","$85,631","$29,045",3.70%
99324,Washington,Walla Walla,College Place; Garrett; Walla Walla,"$53,083","$65,958","$26,591",1.80%
99326,Washington,Adams; Franklin,Connell; Mesa,"$57,747","$58,596","$13,891",0.00%
99328,Washington,Columbia,Dayton,"$55,048","$84,118","$37,211",6.20%
99329,Washington,Walla Walla,Dixie,"$50,625","$58,044","$24,232",0.00%
99330,Washington,Franklin,,"$50,727","$45,940","$14,937",0.00%
99333,Washington,Adams; Whitman,,-$1,"$59,735","$25,490",17.60%
99335,Washington,Adams; Franklin,Kahlotus,"$50,769","$53,940","$20,233",0.00%
99336,Washington,Benton,Kennewick; Richland,"$49,973","$61,847","$23,669",2.70%
99337,Washington,Benton,Finley; Kennewick,"$74,158","$84,479","$30,237",4.50%
99338,Washington,Benton,Kennewick; Richland,"$114,429","$136,749","$46,780",16.80%
99341,Washington,Adams,Lind,"$57,438","$60,811","$23,343",0.00%
99343,Washington,Benton; Franklin,Basin City; Mesa,"$63,052","$75,810","$18,575",2.50%
99344,Washington,Adams; Franklin; Grant,Hatton; Othello,"$51,114","$67,112","$19,106",2.40%
99345,Washington,Benton,,-$1,"$90,939","$34,223",6.80%
99346,Washington,Benton,,"$64,479","$56,040","$23,585",0.00%
99347,Washington,Columbia; Garfield; Whitman,Pomeroy,"$54,688","$59,512","$26,115",1.50%
99348,Washington,Columbia; Walla Walla,Prescott,"$54,722","$67,169","$23,126",2.60%
99349,Washington,Adams; Grant,Desert Aire; Mattawa,"$58,024","$65,621","$16,815",2.30%
99350,Washington,Benton; Klickitat; Yakima,Prosser,"$57,973","$70,555","$26,236",3.50%
99352,Washington,Benton,Kennewick; Richland; West Richland,"$81,410","$105,547","$43,272",11.30%
99353,Washington,Benton,Richland; West Richland,"$102,021","$111,352","$37,474",10.70%
99354,Washington,Benton,Richland,"$73,369","$90,089","$35,680",6.40%
99356,Washington,Klickitat,Roosevelt,"$62,917","$73,733","$26,431",0.00%
99357,Washington,Adams; Grant,Royal City,"$51,806","$67,245","$17,763",1.00%
99359,Washington,Columbia; Franklin,Starbuck,"$35,278","$54,253","$34,885",5.30%
99360,Washington,Walla Walla,Touchet,"$85,096","$117,914","$35,411",10.30%
99361,Washington,Columbia; Walla Walla,Dixie; Waitsburg,"$69,118","$82,850","$33,849",6.10%
99362,Oregon; Washington,Umatilla; Walla Walla,College Place; Garrett; Walla Walla; Walla Walla East,"$56,665","$76,776","$29,512",4.70%
99363,Washington,Walla Walla,Wallula,"$38,011","$34,322","$8,572",0.00%
99371,Washington,Adams; Franklin,Washtucna,"$53,750","$59,984","$24,260",0.00%
99401,Washington,Asotin,,"$67,917","$85,386","$23,950",0.00%
99402,Washington,Asotin,Asotin,"$55,595","$77,500","$36,260",6.70%
99403,Washington,Asotin; Garfield,Asotin; Clarkston; Clarkston Heights-Vineland; West Clarkston-Highland,"$53,079","$69,846","$29,496",2.70%