zipcode,city_name,monthly_mean_income
98039,Bellevue; Hunts Point; Kirkland; Medina,26933
98040,Mercer Island,18718
98074,Sammamish,18488
98077,Cottage Lake; Maltby; Union Hill-Novelty Hill,18485
98164,Seattle,18302
98075,Issaquah; Sammamish,17905
98050,,17678
98112,Seattle,17291
98004,Beaux Arts Village; Bellevue; Clyde Hill; Hunts Point; Yarrow Point,16482
98053,Ames Lake; Redmond; Union Hill-Novelty Hill,16184
98006,Bellevue; Issaquah; Newcastle,15546
98033,Bellevue; Kirkland; Redmond; Yarrow Point,15268
99023,,14208
98065,Snoqualmie,13924
98199,Seattle,13733
98052,Bellevue; Cottage Lake; Kirkland; Redmond; Sammamish; Union Hill-Novelty Hill; Woodinville,13447
98019,Cottage Lake; Duvall; Union Hill-Novelty Hill,13376
98177,Seattle; Shoreline,13345
98008,Bellevue; Issaquah; Sammamish,13115
98005,Bellevue,13115
98029,Issaquah; Sammamish,12995
98072,Bothell; Clearview; Cottage Lake; Kirkland; Maltby; Woodinville,12989
98024,Fall City; Sammamish; Snoqualmie,12897
98117,Seattle,12795
98286,,12773
98296,Cathcart; Clearview; Eastmont; High Bridge; Maltby; Mill Creek East; Silver Firs,12368
98115,Kirkland; Seattle,12286
98116,Seattle,12229
98014,Ames Lake; Carnation; Lake Marcel-Stillwater,12119
98110,Bainbridge Island,12072
98021,Bothell; Bothell East; Bothell West; Brier; Kenmore; Maltby,11982
98119,Seattle,11933
98136,Seattle,11930
98045,North Bend; Riverbend; Snoqualmie; Snoqualmie Pass; Tanner; Wilderness Rim,11809
98222,,11798
98027,Bellevue; East Renton Highlands; Hobart; Issaquah; Mirrormont; Sammamish,11789
98121,Seattle,11708
98332,Canterwood; Gig Harbor; Maplewood; Purdy; Rosedale,11700
98333,Fox Island,11619
98109,Seattle,11494
98059,Bellevue; East Renton Highlands; Newcastle; Renton,11452
99338,Kennewick; Richland,11396
98010,Black Diamond; Lake Morton-Berrydale; Maple Valley,11330
98275,Everett; Mukilteo; Picnic Point,11327
98028,Bothell; Bothell West; Kenmore,11259
98607,Camas; Fern Prairie; Vancouver; Washougal,11155
98103,Seattle,11083
98107,Seattle,11039
98020,Edmonds; Esperance; Woodway,10789
98038,Covington; East Renton Highlands; Hobart; Kent; Lake Morton-Berrydale; Maple Valley; Mirrormont; Ravensdale; Shadow Lake,10749
99036,,10730
98034,Bothell; Kenmore; Kirkland; Redmond,10672
98042,Auburn; Covington; Kent; Lake Morton-Berrydale; Maple Valley; Shadow Lake,10635
98606,Battle Ground; Brush Prairie; Hockinson; Venersborg,10633
98012,Bothell; Bothell East; Bothell West; Clearview; Martha Lake; Mill Creek; Mill Creek East; Silver Firs,10584
98335,Artondale; Gig Harbor; Raft Island; Rosedale; Wollochet,10537
98102,Seattle,10529
98391,Alderton; Auburn; Bonney Lake; Lake Tapps; Orting; Prairie Heights; Prairie Ridge; Sumner,10412
98642,Dollars Corner; Duluth; La Center; Mount Vista; Ridgefield,10201
98026,Edmonds; Esperance; Lynnwood; Meadowdale; Mukilteo; North Lynnwood; Picnic Point,10194
98685,Felida; Lake Shore; Salmon Creek,10153
98394,Key Center; Vaughn,10145
98144,Seattle,10068
98007,Bellevue; Redmond,10025
98105,Seattle,9914
98290,Bunk Foss; Chain Lake; Everett; Fobes Hill; Lake Bosworth; Lake Roesiger; Machias; Monroe; Monroe North; Snohomish; Three Lakes; Woods Creek,9871
98122,Seattle,9854
98056,Newcastle; Renton,9830
99360,Touchet,9826
98940,Ronald,9746
98422,Browns Point; Dash Point; Fife Heights; Milton; Tacoma,9735
98101,Seattle,9690
98011,Bothell; Kenmore; Kirkland; Woodinville,9672
98070,Vashon,9640
99019,Liberty Lake,9627
98314,Bremerton; Navy Yard City; Port Orchard,9555
98155,Kenmore; Lake Forest Park; Shoreline,9541
99179,Uniontown,9515
98629,La Center,9496
98671,Camas; Fern Prairie; Washougal,9429
98166,Burien; Normandy Park,9293
98092,Auburn; Black Diamond; Kent; Lake Holm; Lake Morton-Berrydale; Lake Tapps,9283
99353,Richland; West Richland,9279
98126,Seattle; White Center,9278
98272,Chain Lake; Everett; High Bridge; Monroe; Monroe North; Sultan; Woods Creek,9154
98407,Ruston; Tacoma,9151
99203,Spokane,9150
98443,Waller,9069
99005,Green Bluff,9044
98258,Cavalero; Lake Cassidy; Lake Stevens; Lochsloy; Machias; Sisco Heights,9039
98280,,9007
98058,East Renton Highlands; Fairwood; Kent; Maple Heights-Lake Desire; Renton; Shadow Lake,8950
98118,Seattle,8873
99322,Bickleton,8853
98282,Camano,8810
98134,Seattle,8803
99352,Kennewick; Richland; West Richland,8796
98205,Bunk Foss; Cavalero; Everett; Lake Stevens; Machias; Marysville,8788
98321,Bonney Lake; Buckley; Enumclaw; Prairie Heights; Prairie Ridge; South Prairie; Wilkeson,8777
98068,Roslyn; Snoqualmie Pass; Tanner,8728
99131,,8716
98675,Amboy; Yacolt,8702
98036,Alderwood Manor; Bothell West; Brier; Lynnwood; Martha Lake; Mountlake Terrace; North Lynnwood,8702
98208,Eastmont; Everett; Martha Lake; Mill Creek; Silver Firs,8691
98370,Indianola; Keyport; Lofall; Poulsbo; Silverdale; Suquamish,8625
98388,Ketron Island; Lakewood; Steilacoom; University Place,8584
98292,Kayak Point; Lake Goodwin; Lake Ketchum; Marysville; Northwest Stanwood; Silvana; Stanwood; Sunday Lake; Warm Beach,8577
98250,Friday Harbor,8557
98329,Burley; Key Center; Stansberry Lake; Vaughn; Wauna,8523
98327,DuPont; North Fort Lewis,8518
98001,Algona; Auburn; Federal Way; Lakeland North; Lakeland South; Milton; Pacific,8505
98383,Chico; Silverdale,8489
98051,Hobart; Kent; Ravensdale,8481
98374,Alderton; Graham; McMillin; Puyallup; South Hill,8439
98249,Freeland,8435
98346,Hansville; Indianola; Kingston; Port Gamble Tribal Community,8425
98223,Arlington; Arlington Heights; Bryant; Canyon Creek; Lake Cassidy; Lake Goodwin; Marysville; North Marysville; Oso; Sisco Heights; Swede Heaven,8415
98146,Burien; Seattle; White Center,8410
98604,Battle Ground; Cherry Grove; Dollars Corner; Lewisville; Meadow Glade; Venersborg,8401
98406,Tacoma,8400
98686,Barberton; Mount Vista; Salmon Creek,8371
98232,Alger; Edison,8366
98516,Lacey; Olympia; Tanglewilde,8355
98560,,8301
98221,Anacortes,8260
98328,Alder; Clear Lake; Eatonville; La Grande,8220
98022,Black Diamond; Buckley; Enumclaw; Greenwater,8188
98178,Bryn Mawr-Skyway; Renton; Seattle; Tukwila,8181
99223,Spokane,8160
98031,Kent,8122
98946,Thorp,8109
98367,Bethel; Bremerton; Burley; Gorst; Port Orchard; Southworth,8103
98621,Grays River; Rosburg,8095
98303,Anderson Island,8078
98236,Clinton,8056
98625,Kalama,8048
98380,Seabeck,8029
98360,Clear Lake; Crocker; Graham; Kapowsin; McMillin; Orting; Prairie Ridge; South Hill,8003
98563,Aberdeen; Brady; Cosmopolis; Montesano,7989
98338,Clear Lake; Elk Plain; Graham; Kapowsin; South Creek; South Hill,7986
98274,Big Lake; Lake Cavanaugh; Lake McMurray; Mount Vernon,7979
98821,,7976
98125,Seattle,7963
98932,Granger,7901
98396,Carbonado; Wilkeson,7893
98372,Alderton; Edgewood; North Puyallup; Puyallup; Sumner,7847
98023,Des Moines; Federal Way,7844
98371,Edgewood; Milton; Puyallup; Summit; Waller,7828
98651,Hood River,7816
99016,Liberty Lake; Spokane Valley,7805
98342,Indianola,7795
98229,Alger; Bellingham; Geneva; Sudden Valley,7790
98271,Lake Goodwin; Marysville; North Marysville; Sisco Heights,7773
99154,,7767
98925,Easton; Roslyn,7739
98375,Frederickson; South Hill; Summit View,7737
98055,Kent; Renton,7733
97031,Hood River; Odell,7718
98502,Olympia; Tumwater,7714
99224,Airway Heights; Spokane,7700
98467,Fircrest; Steilacoom; Tacoma; University Place,7689
98512,Olympia; Tumwater,7682
98087,Lake Stickney; Larch Way; Lynnwood; Martha Lake; North Lynnwood; Picnic Point,7658
98501,Lacey; Olympia; Tumwater,7650
98270,Lake Cassidy; Marysville,7650
98373,Clover Creek; Puyallup; South Hill; Summit; Summit View,7644
99021,Green Bluff; Mead,7628
98252,Canyon Creek; Granite Falls; Lake Bosworth; Lochsloy; Snohomish; Verlot,7617
98513,Lacey; Nisqually Indian Community,7612
98260,Langley,7596
98220,Acme,7588
99345,,7578
98203,Eastmont; Everett,7574
98262,,7567
98683,Vancouver,7565
98198,Des Moines; Federal Way; Kent; Normandy Park; SeaTac,7556
98359,Burley,7528
98108,Boulevard Park; Seattle; Tukwila; White Center,7525
98524,Allyn; Grapeview; Vaughn,7517
99354,Richland,7507
98446,Clover Creek; Frederickson; Summit,7490
98664,Vancouver,7473
98104,Seattle,7467
98802,East Wenatchee; Rock Island,7462
98133,Seattle; Shoreline,7448
98188,Kent; Renton; SeaTac; Tukwila,7435
98240,Custer,7427
98682,Brush Prairie; Camas; Hockinson; Orchards; Vancouver,7409
99026,Spokane,7391
99027,Otis Orchards-East Farms; Spokane Valley,7389
98037,Larch Way; Lynnwood; Martha Lake; Meadowdale; North Lynnwood,7378
98546,Grapeview,7358
98230,Birch Bay; Blaine,7352
98466,Fircrest; Tacoma; University Place,7334
99103,Almira,7329
98506,Olympia,7321
98043,Edmonds; Lynnwood; Mountlake Terrace; Shoreline,7314
99031,Spangle,7311
98811,,7307
98294,Everett; Gold Bar; North Sultan; Startup; Sultan,7276
98106,Seattle; White Center,7275
98263,Lyman,7242
98834,Methow,7238
98908,Ahtanum; Eschbach; Gleed; Summitview; Yakima,7235
98672,Bingen; White Salmon,7218
98245,,7198
99025,Otis Orchards-East Farms,7180
98354,Edgewood; Fife; Milton,7170
98387,Elk Plain; Frederickson; Graham; Parkland; South Creek; Spanaway,7167
98279,,7163
98498,Lakewood; McChord AFB; Steilacoom,7157
99323,Burbank,7136
98257,La Conner,7133
99401,,7116
98365,Port Ludlow,7102
98665,Five Corners; Hazel Dell; Lake Shore; Salmon Creek; Vancouver,7086
98239,Coupeville,7085
98424,Fife; Fife Heights; Milton; Tacoma,7080
98248,Birch Bay; Custer; Ferndale; Marietta-Alderwood,7073
98403,Tacoma,7058
98264,Lynden,7044
98311,Silverdale; Tracyton,7042
98684,Vancouver,7041
99337,Finley; Kennewick,7040
98942,Selah; Yakima,7033
98323,Carbonado; Wilkeson,7015
99328,Dayton,7010
98340,Hansville,7003
98251,Gold Bar; May Creek; Startup,6994
98226,Bellingham; Ferndale; Marietta-Alderwood,6985
98390,Alderton; Auburn; North Puyallup; Pacific; Sumner,6960
98674,Woodland,6958
99152,Metaline,6957
98638,Deep River; Grays River; Naselle; Rosburg,6953
99012,Fairfield; Latah; Waverly,6947
98148,Burien; Des Moines; Normandy Park; SeaTac,6937
98596,Vader; Winlock,6925
99003,,6924
98826,Leavenworth,6921
98650,Trout Lake,6919
98261,,6913
99037,Spokane Valley,6912
99361,Dixie; Waitsburg,6904
98588,,6899
98846,Pateros,6879
98601,Amboy,6870
98580,Fort Lewis; McChord AFB; McKenna; Nisqually Indian Community; North Yelm; Roy; South Creek,6846
98936,Moxee,6825
98366,Bainbridge Island; Bremerton; East Port Orchard; Manchester; Parkwood; Port Orchard; Southworth,6814
98032,Des Moines; Kent; Lakeland North; SeaTac; Tukwila,6809
98244,Deming; Glacier; Kendall; Maple Falls; Peaceful Valley,6796
98030,Auburn; Kent,6795
98385,South Prairie,6793
99148,Loon Lake; Springdale,6772
99208,Country Homes; Fairwood; Mead; Spokane; Town and Country,6762
99301,Pasco; West Pasco,6741
98801,South Wenatchee; Sunnyslope; Wenatchee,6739
98663,Hazel Dell; Vancouver,6708
99161,Palouse,6707
98288,Skykomish,6703
98233,Alger; Burlington,6689
98392,Suquamish,6680
98445,Clover Creek; Frederickson; Midland; Parkland; Spanaway; Summit; Tacoma,6678
98828,,6676
98281,Point Roberts,6659
98284,Alger; Clear Lake; Hamilton; Lyman; Sedro-Woolley,6649
98589,Tenino,6637
98579,Grand Mound; Rochester,6627
98815,Cashmere,6622
98823,Ephrata,6610
98243,,6608
98465,Tacoma,6594
99022,Airway Heights; Fairchild AFB; Medical Lake,6577
99128,Farmington,6567
98381,Sekiu,6545
98645,,6532
98662,Barberton; Brush Prairie; Five Corners; Orchards; Vancouver,6526
98253,,6493
98661,Minnehaha; Vancouver,6487
98312,Bremerton; Chico; Erlands Point-Kitsap Lake; Gorst; Navy Yard City; Port Orchard; Rocky Point; Silverdale,6474
98937,Cliffdell; Eschbach; Gleed; Naches; Nile,6472
98597,La Grande; McKenna; North Yelm; Yelm,6472
98376,Quilcene,6464
99402,Asotin,6458
98922,Cle Elum; Easton; Roslyn; South Cle Elum,6441
98862,Twisp; Winthrop,6422
98848,George; Quincy,6418
98345,Keyport,6417
98528,Allyn; Belfair,6408
99362,College Place; Garrett; Walla Walla; Walla Walla East,6398
98057,Bryn Mawr-Skyway; Renton; Tukwila,6378
98611,Castle Rock,6376
98933,Harrah,6373
98349,Herron Island; Home; Key Center; Longbranch,6367
99158,Oakesdale,6363
98532,Centralia; Chehalis; Napavine; Pe Ell,6340
99217,Mead; Spokane,6339
98503,Lacey; Olympia; Tanglewilde,6333
98276,Nooksack,6330
99343,Basin City; Mesa,6318
99029,Reardan,6312
98368,Port Hadlock-Irondale; Port Townsend,6311
98003,Des Moines; Federal Way; Lakeland South; Milton,6277
98168,Boulevard Park; Burien; SeaTac; Tukwila; White Center,6247
98247,Deming; Everson; Lynden; Nooksack,6240
98816,Chelan,6227
99320,Benton City; Richland; West Richland,6226
98351,Longbranch,6217
98201,Everett; Hat Island,6214
99176,,6213
98277,Oak Harbor; Whidbey Island Station,6197
99181,Valley,6176
99006,Deer Park,6166
98273,Bay View; Burlington; Clear Lake; Conway; Mount Vernon,6166
99356,Roosevelt,6144
99139,Ione,6141
98843,,6137
98570,Onalaska,6134
98837,Cascade Valley; Moses Lake; Moses Lake North,6122
98858,Waterville,6118
99135,Hartline,6115
98617,Dallesport,6114
98576,Rainier; Yelm,6095
99030,Rockford,6084
98591,Toledo,6078
98616,,6068
99180,Cusick,6059
98310,Bremerton; Enetai; Tracyton,6044
98953,Buena; Zillah,6041
99008,,6037
98643,Altoona; Deep River; Grays River; Rosburg; Skamokawa Valley,6030
98943,Cle Elum; South Cle Elum,6024
98382,Bell Hill; Blyn; Carlsborg; Jamestown; River Road; Sequim,6011
98847,,6004
98903,Ahtanum; Tampico; Union Gap; Yakima,5992
99212,Millwood; Spokane; Spokane Valley,5980
98603,,5966
98619,Glenwood,5958
99206,Millwood; Spokane Valley,5945
98408,Tacoma,5944
98833,,5943
99126,Marcus,5918
98418,Tacoma,5912
98648,Carson; North Bonneville; Stevenson,5912
98856,Twisp,5899
99119,Cusick,5899
98047,Algona; Auburn; Pacific,5895
99350,Prosser,5880
99009,,5862
98660,Vancouver,5854
98358,Marrowstone,5849
98612,Cathlamet; East Cathlamet; Lower Elochoman; Puget Island; Skamokawa Valley; Upper Elochoman,5831
98584,Shelton; Skokomish,5824
99111,Colfax; Steptoe,5824
99403,Asotin; Clarkston; Clarkston Heights-Vineland; West Clarkston-Highland,5821
98613,Centerville,5811
99185,Wilbur,5806
99141,Barney's Junction; Barstow; Boyds; Kettle Falls,5805
99122,Davenport,5803
98538,,5799
98402,Tacoma,5785
98831,Manson,5763
98590,Tokeland,5760
99004,Cheney; Four Lakes,5756
98557,McCleary,5752
98363,Port Angeles,5718
98002,Auburn; Kent; Pacific,5706
98926,Ellensburg; Kittitas,5706
98938,Outlook; Sunnyside,5702
99113,Colton,5698
98362,Port Angeles; Port Angeles East,5696
99102,Albion,5693
98405,Tacoma,5691
98626,Castle Rock; Kalama; Kelso; Longview; West Side Highway,5690
98947,Cowiche; Tieton,5683
99218,Country Homes; Fairwood; Spokane; Town and Country,5682
98836,Cashmere,5675
98605,Bingen; White Salmon,5674
98832,Krupp (Marlin),5658
98542,,5652
98571,Moclips; Pacific Beach,5646
98404,Midland; Tacoma; Waller,5634
98632,Kelso; Longview; Longview Heights; West Side Highway,5626
98225,Bellingham; Marietta-Alderwood,5624
99116,Coulee Dam; Elmer City,5613
98537,Aberdeen; Cosmopolis; Junction City,5610
99357,Royal City,5604
98951,Donald; Harrah; Parker; Wapato,5603
98822,Entiat,5602
99348,Prescott,5597
99011,Fairchild AFB,5594
99032,Sprague,5593
99344,Hatton; Othello,5593
98204,Everett; Lake Stickney; Mukilteo,5579
98624,Chinook; Ilwaco,5576
98639,North Bonneville,5568
98930,Grandview,5549
98409,Tacoma,5543
98610,Carson,5524
99123,Electric City; Grand Coulee,5508
98541,Elma; Malone; Porter; Satsop,5504
99324,College Place; Garrett; Walla Walla,5497
99349,Desert Aire; Mattawa,5468
98952,White Swan,5453
98572,Pe Ell,5451
98568,Oakville,5448
98635,Dallesport; Klickitat; Lyle,5447
98256,Index,5441
98520,Aberdeen; Aberdeen Gardens; Central Park; Cosmopolis; Junction City; Markham; Westport,5415
98649,,5410
99147,,5391
99170,Malden; Rosalia,5391
98339,Port Hadlock-Irondale,5374
98237,Concrete,5363
98565,Napavine,5362
99159,Odessa,5355
98595,Cohassett Beach; Grayland; Westport,5348
99205,Spokane; Town and Country,5347
99114,Colville,5340
98577,Lebam; Raymond; South Bend; Willapa,5329
98552,Humptulips; Neilton,5326
98592,Union,5311
99033,Tekoa,5289
99117,Creston,5251
98531,Centralia; Fords Prairie; Grand Mound,5227
98620,Goldendale; Maryhill,5223
99166,Curlew Lake; Pine Grove; Republic; Torboy,5222
99171,St. John,5220
98585,,5215
98320,Brinnon,5209
99156,Newport,5206
98337,Bremerton; Port Orchard,5199
98860,Wilson Creek,5197
99101,Addy,5193
99018,Latah,5156
99336,Kennewick; Richland,5154
98550,Aberdeen; Hogans Corner; Hoquiam; Humptulips; Oyehut,5145
98841,Disautel; North Omak; Okanogan; Omak; Riverside,5135
98533,,5108
99150,Malo,5099
99124,Elmer City,5092
99130,Colfax; Garfield,5085
98564,Mossyrock,5081
98295,Peaceful Valley; Sumas,5077
99133,Electric City; Grand Coulee,5073
99341,Lind,5068
98840,Malott; Okanogan; Omak,5045
99216,Spokane Valley,5032
99125,Endicott,5027
98944,Sunnyside,5011
99371,Washtucna,4999
98315,Bangor Base,4998
99143,LaCrosse,4986
99333,,4978
98499,Lakewood; McChord AFB; Parkland; Tacoma; University Place,4977
98283,Marblemount; Rockport,4969
99347,Pomeroy,4959
99153,Metaline Falls,4913
98857,Warden,4911
98830,Mansfield,4906
98935,Grandview; Mabton,4896
99109,Chewelah,4895
99169,Ritzville,4889
99174,Steptoe,4883
99326,Connell; Mesa,4883
98851,Lakeview; Soap Lake,4882
98817,Chelan Falls,4865
98859,,4861
99167,,4859
98350,,4857
98901,Moxee; Terrace Heights; Union Gap; Yakima,4853
99329,Dixie,4837
99001,Airway Heights; Spokane,4825
98845,,4822
98331,Forks; Queets,4819
98902,Yakima,4775
98444,Lakewood; Midland; Parkland; Spanaway; Tacoma,4774
99110,Clayton,4752
99118,Curlew,4752
98640,Ocean Park,4749
98526,Amanda Park,4740
99115,Banks Lake South; Coulee City,4732
98241,Darrington; Swede Heaven,4731
99163,Albion; Pullman,4718
98814,,4717
98357,Neah Bay,4707
99346,,4670
99105,,4669
98575,Neilton,4640
98948,Toppenish,4632
99155,Nespelem; Nespelem Community,4631
98547,Grayland,4629
98569,Ocean City; Ocean Shores,4616
98824,George,4606
98433,DuPont; Fort Lewis; Lakewood; North Fort Lewis,4584
99134,Harrington,4582
98305,,4570
98586,South Bend,4549
98812,Brewster; Pateros,4538
99202,Spokane; Spokane Valley,4524
99359,Starbuck,4521
99335,Kahlotus,4495
98361,Packwood,4485
98336,,4478
98647,Grays River; Skamokawa Valley,4467
98530,Bucoda,4457
98850,Rock Island,4445
98325,Port Hadlock-Irondale,4404
98304,Ashford,4387
99121,Danville,4360
98644,,4343
99204,Spokane,4332
98923,Cowiche,4308
98548,Hoodsport,4305
99138,Inchelium; Twin Lakes,4303
83824,De Smet,4301
99140,Keller,4284
98813,Bridgeport,4282
98326,Clallam Bay,4258
83851,Plummer,4257
98941,Cle Elum; Roslyn,4251
98827,Loomis,4243
98356,Morton,4241
98583,Satsop,4231
98377,,4229
99137,,4222
98631,Long Beach,4213
98535,Copalis Beach; Ocean City,4207
98855,Tonasket,4199
99013,,4193
99207,Spokane,4182
98844,Oroville,4178
98829,Malott,4161
99201,Spokane,4119
98439,Fort Lewis; Lakewood; McChord AFB,4116
98849,Omak; Riverside,4079
98224,Baring,4076
98934,Kittitas,4017
98673,Wishram,4010
98593,Vader,3936
83870,Tensed,3920
99039,Waverly,3901
99129,,3901
98819,Conconully,3898
99149,Malden,3875
98582,,3840
98587,Qui-nai-elt Village; Santiago; Taholah,3834
98628,Klickitat,3829
99330,,3828
99017,Lamont,3795
99173,Springdale,3716
99136,,3680
98266,Kendall; Maple Falls; Peaceful Valley,3602
98235,Clear Lake,3537
99157,Northport,3510
98255,Hamilton,3490
98555,,3463
98527,Bay Center,3439
98581,Ryderwood,3414
99144,,3403
98355,Mineral,3367
99040,,3353
98614,Chinook,3320
98602,,3307
98267,Marblemount,3298
98670,,3231
98852,,3162
98297,,3157
99151,Marcus,3084
99363,Wallula,2860
98536,Copalis Beach,2449
99146,Laurier,2150
99160,Orient,2138
98939,Parker,1404